bundle,protocol,seed,held_out,artifact,present
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/pooled-seed-1337,pooled,1337,ALL,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/pooled-seed-1337,pooled,1337,ALL,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/pooled-seed-1337,pooled,1337,ALL,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/pooled-seed-1337,pooled,1337,ALL,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/pooled-seed-1337,pooled,1337,ALL,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,predictions.csv,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,model.pt,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,metadata.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,metrics.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,split_manifest.json,True
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,predictions.csv,True
