protocol,seed,held_out,comparison,AUROC,AUPRC,direction,positive_count,negative_count,status,reason
loso,1337,1-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,16800,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,1337,1-1,known_incorrect vs known_correct,0.7723187102927206,0.4373245064628165,higher_entropy_indicates_known_incorrect,3208,16800,AVAILABLE,
loso,1337,1-1,malicious vs benign,0.9196106614708232,0.8776299710712153,higher_entropy_indicates_malicious,10008,10000,AVAILABLE,
loso,1337,3-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,18687,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,1337,3-1,known_incorrect vs known_correct,0.8607546093742484,0.5417615365993408,higher_entropy_indicates_known_incorrect,1819,18687,AVAILABLE,
loso,1337,3-1,malicious vs benign,0.5194717360262132,0.8374695174206706,higher_entropy_indicates_malicious,15970,4536,AVAILABLE,
loso,1337,34-1,absent_from_train vs known_correct,0.5058532816537468,0.9071441727666822,higher_entropy_indicates_absent_from_train,10000,1935,AVAILABLE,
loso,1337,34-1,known_incorrect vs known_correct,0.968418434812146,0.9855528361968462,higher_entropy_indicates_known_incorrect,6816,1935,AVAILABLE,
loso,1337,34-1,malicious vs benign,0.7067884284185249,0.9666467481733393,higher_entropy_indicates_malicious,16828,1923,AVAILABLE,
loso,1337,36-1,absent_from_train vs known_correct,0.9996244273460371,0.9999499975034986,higher_entropy_indicates_absent_from_train,20003,2663,AVAILABLE,
loso,1337,36-1,known_incorrect vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_known_incorrect,0,2663,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,1337,36-1,malicious vs benign,0.9996244273460371,0.9999499975034986,higher_entropy_indicates_malicious,20003,2663,AVAILABLE,
loso,1337,39-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,17559,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,1337,39-1,known_incorrect vs known_correct,0.9593424285421028,0.8571469588053187,higher_entropy_indicates_known_incorrect,1985,17559,AVAILABLE,
loso,1337,39-1,malicious vs benign,0.4796122236475543,0.7296323106001217,higher_entropy_indicates_malicious,12207,7337,AVAILABLE,
loso,1337,9-1,absent_from_train vs known_correct,NOT_AVAILABLE,NOT_AVAILABLE,higher_entropy_indicates_absent_from_train,0,19849,NOT_AVAILABLE,Requires at least one positive and one negative sample.
loso,1337,9-1,known_incorrect vs known_correct,0.9941131703300314,0.7802683630163733,higher_entropy_indicates_known_incorrect,151,19849,AVAILABLE,
