seed,held_out,fixed_macro_f1,seen_class_macro_f1,binary_precision,binary_recall,binary_f1,accuracy,validation_macro_f1,best_epoch
42,1-1,0.19797598156088544,0.5279359508290279,0.9082856615611736,0.9836131095123901,0.9444497745370815,0.6915233906437425,0.8711392003955551,149
1337,1-1,0.22349934180761705,0.5959982448203122,0.9083702064896755,0.9846123101518784,0.9449558879938627,0.8396641343462615,0.8685177369544621,84
2026,1-1,0.15254674501581383,0.4067913200421702,0.5859509530312926,0.9860111910471623,0.7350739319900182,0.4757596961215514,0.8653685237594742,51
42,3-1,0.3891776330459197,0.7783552660918394,0.9850672590398618,0.9996242955541641,0.9922923918448533,0.9505510582268605,0.856682073247454,143
1337,3-1,0.44251221841528565,0.8850244368305713,0.9861051071450627,0.9998747651847214,0.9929422006653608,0.9112942553399005,0.8374812401951512,150
2026,3-1,0.3698641729731912,0.7397283459463824,0.9857416208875995,1.0,0.9928196201547977,0.9881498098117624,0.8194909045659644,73
42,9-1,0.2487067570339173,0.9948270281356691,0.9808673469387755,0.9997,0.9901941362916006,0.9901,0.8622277598615411,81
1337,9-1,0.24900561003176233,0.9960224401270493,0.9854115327747659,0.9997,0.9925043435095557,0.99245,0.863615397328537,150
2026,9-1,0.22338663503979958,0.8935465401591983,0.7402828163174651,0.9999,0.8507253158633599,0.82455,0.857292702655165,56
42,34-1,0.08603624583373606,0.22942998888996283,0.9759247100021886,0.26497504159733776,0.4167874001028182,0.1882032958242227,0.7408620780569665,141
1337,34-1,0.0374723121201577,0.09992616565375385,0.984492815478731,0.41121939624435466,0.5801232342708639,0.10319449629353102,0.743843612914745,150
2026,34-1,0.08653509155759082,0.23076024415357552,0.9842429451367999,0.4083075826004279,0.5771766978873535,0.18798997386806038,0.739552048767738,150
42,36-1,0.12490615615615616,0.9992492492492493,0.999950002499875,0.9998500224966255,0.9999000099990001,0.11744463072443308,0.6135510944129203,72
1337,36-1,0.043430752169091265,0.3474460173527301,1.0,0.49992501124831273,0.6666000066660001,0.11748874966910791,0.618292335225177,150
2026,36-1,0.12492963032463877,0.9994370425971102,1.0,0.9998500224966255,0.9999250056245782,0.11748874966910791,0.6181945447987376,148
42,39-1,0.310603528293221,0.621207056586442,0.9942322159993313,0.9743589743589743,0.9841952834091849,0.9126074498567335,0.8643725784303022,150
1337,39-1,0.3010498281321064,0.6020996562642128,0.9711789679947747,0.9744408945686901,0.972807196892251,0.8984343020875972,0.8657590880233416,150
2026,39-1,0.2999199943377324,0.5998399886754648,0.9655200258397932,0.9795199475710658,0.9724696027001749,0.8948526401964797,0.8604931592706719,74
