protocol,seed,held_out,class,precision,recall,f1,support
loso,1337,1-1,Attack,0.0,0.0,0.0,0
loso,1337,1-1,Benign,0.9831877729257642,0.9006,0.9400835073068894,10000
loso,1337,1-1,C&C,0.0,0.0,0.0,8
loso,1337,1-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,1337,1-1,DDoS,0.0,0.0,0.0,0
loso,1337,1-1,Okiru,0.0,0.0,0.0,0
loso,1337,1-1,Okiru-Attack,0.0,0.0,0.0,0
loso,1337,1-1,PartOfAHorizontalPortScan,0.9296278625954199,0.7794,0.847911227154047,10000
loso,1337,3-1,Attack,0.9716427640156454,1.0,0.9856174574309803,5962
loso,1337,3-1,Benign,0.9995362856480408,0.9503968253968254,0.9743473838851847,4536
loso,1337,3-1,C&C,0.6,0.75,0.6666666666666666,8
loso,1337,3-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,1337,3-1,DDoS,0.0,0.0,0.0,0
loso,1337,3-1,Okiru,0.0,0.0,0.0,0
loso,1337,3-1,Okiru-Attack,0.0,0.0,0.0,0
loso,1337,3-1,PartOfAHorizontalPortScan,0.9998810797954573,0.8408,0.9134662393394535,10000
loso,1337,34-1,Attack,0.0,0.0,0.0,0
loso,1337,34-1,Benign,0.1547517488483194,0.9433177327093084,0.2658849395382924,1923
loso,1337,34-1,C&C,0.0,0.0,0.0,6706
loso,1337,34-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,1337,34-1,DDoS,0.0,0.0,0.0,10000
loso,1337,34-1,Okiru,0.0,0.0,0.0,0
loso,1337,34-1,Okiru-Attack,0.0,0.0,0.0,0
loso,1337,34-1,PartOfAHorizontalPortScan,0.017241379310344827,0.9918032786885246,0.033893557422969185,122
loso,1337,36-1,Attack,0.0,0.0,0.0,0
loso,1337,36-1,Benign,0.21024790778462024,1.0,0.3474460173527301,2663
loso,1337,36-1,C&C,0.0,0.0,0.0,0
loso,1337,36-1,C&C-HeartBeat,0.0,0.0,0.0,10000
loso,1337,36-1,DDoS,0.0,0.0,0.0,0
loso,1337,36-1,Okiru,0.0,0.0,0.0,10000
loso,1337,36-1,Okiru-Attack,0.0,0.0,0.0,3
loso,1337,36-1,PartOfAHorizontalPortScan,0.0,0.0,0.0,0
loso,1337,39-1,Attack,0.32857142857142857,0.8493353028064993,0.4738360115368768,677
loso,1337,39-1,Benign,0.9572368421052632,0.9518876925173777,0.9545547734572541,7337
loso,1337,39-1,C&C,0.0,0.0,0.0,1530
loso,1337,39-1,C&C-HeartBeat,0.0,0.0,0.0,0
loso,1337,39-1,DDoS,0.0,0.0,0.0,0
loso,1337,39-1,Okiru,0.0,0.0,0.0,0
loso,1337,39-1,Okiru-Attack,0.0,0.0,0.0,0
