scope,split,class_index,class_name,support,proportion,global_support,clients_with_class,zero_support,structurally_private_class,ultra_rare_global_class,severe_imbalance_trigger
global,all,0,Benign,36459,0.3001358304177814,36459,6,False,False,False,False
global,all,1,Attack,6639,0.05465322082733073,6639,2,False,False,False,False
global,all,2,C&C,8252,0.06793167318378267,8252,4,False,False,False,False
global,all,3,C&C-HeartBeat,10000,0.08232146532208273,10000,1,False,True,False,True
global,all,4,DDoS,10000,0.08232146532208273,10000,1,False,True,False,True
global,all,5,Okiru,10000,0.08232146532208273,10000,1,False,True,False,True
global,all,6,Okiru-Attack,3,2.469643959662482e-05,3,1,False,True,True,True
global,all,7,PartOfAHorizontalPortScan,40122,0.3302901831652603,40122,5,False,False,False,False
global,train,0,Benign,25520,0.30013642564802184,36459,6,False,False,False,False
global,train,1,Attack,4646,0.05464082419908736,6639,2,False,False,False,False
global,train,2,C&C,5775,0.06791880321776356,8252,4,False,False,False,False
global,train,3,C&C-HeartBeat,7000,0.08232582208213765,10000,1,False,True,False,True
global,train,4,DDoS,7000,0.08232582208213765,10000,1,False,True,False,True
global,train,5,Okiru,7000,0.08232582208213765,10000,1,False,True,False,True
global,train,6,Okiru-Attack,2,2.352166345203933e-05,3,1,False,True,True,True
global,train,7,PartOfAHorizontalPortScan,28085,0.33030295902526224,40122,5,False,False,False,False
global,validation,0,Benign,3644,0.3000658761528327,36459,6,False,False,False,False
global,validation,1,Attack,663,0.05459486166007905,6639,2,False,False,False,False
global,validation,2,C&C,825,0.06793478260869565,8252,4,False,False,False,False
global,validation,3,C&C-HeartBeat,1000,0.08234519104084322,10000,1,False,True,False,True
global,validation,4,DDoS,1000,0.08234519104084322,10000,1,False,True,False,True
global,validation,5,Okiru,1000,0.08234519104084322,10000,1,False,True,False,True
global,validation,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
global,validation,7,PartOfAHorizontalPortScan,4012,0.330368906455863,40122,5,False,False,False,False
global,test,0,Benign,7295,0.3001687034522487,36459,6,False,False,False,False
global,test,1,Attack,1330,0.05472575402213718,6639,2,False,False,False,False
global,test,2,C&C,1652,0.06797514710118092,8252,4,False,False,False,False
global,test,3,C&C-HeartBeat,2000,0.08229436695058223,10000,1,False,True,False,True
global,test,4,DDoS,2000,0.08229436695058223,10000,1,False,True,False,True
global,test,5,Okiru,2000,0.08229436695058223,10000,1,False,True,False,True
global,test,6,Okiru-Attack,1,4.114718347529112e-05,3,1,False,True,True,True
global,test,7,PartOfAHorizontalPortScan,8025,0.3302061473892112,40122,5,False,False,False,False
34-1,all,0,Benign,1923,0.10255453042504399,36459,6,False,False,False,False
34-1,all,1,Attack,0,0.0,6639,2,True,False,False,True
34-1,all,2,C&C,6706,0.3576342595061597,8252,4,False,False,False,False
34-1,all,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
34-1,all,4,DDoS,10000,0.5333048904058451,10000,1,False,True,False,True
34-1,all,5,Okiru,0,0.0,10000,1,True,True,False,True
34-1,all,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
34-1,all,7,PartOfAHorizontalPortScan,122,0.006506319662951309,40122,5,False,False,False,False
34-1,train,0,Benign,1346,0.10255238095238095,36459,6,False,False,False,False
34-1,train,1,Attack,0,0.0,6639,2,True,False,False,True
34-1,train,2,C&C,4694,0.35763809523809525,8252,4,False,False,False,False
34-1,train,3,C&C-HeartBeat,0,0.0,10000,1,True,True,False,True
34-1,train,4,DDoS,7000,0.5333333333333333,10000,1,False,True,False,True
34-1,train,5,Okiru,0,0.0,10000,1,True,True,False,True
34-1,train,6,Okiru-Attack,0,0.0,3,1,True,True,True,True
