run_id,strategy,round,validation_loss,accuracy,macro_f1,weighted_f1
fedper-20260805T162143974378Z-270b7ffe84,fedper,1,1.597477346226789,0.4337121212121212,0.4301577859254214,0.3918595597724046
fedper-20260805T162143974378Z-270b7ffe84,fedper,2,1.2863045794219368,0.7406126482213439,0.6819296419209228,0.7131071224101527
fedper-20260805T162143974378Z-270b7ffe84,fedper,3,1.0492523655746921,0.76366930171278,0.7276752451940806,0.733125132118279
fedper-20260805T162143974378Z-270b7ffe84,fedper,4,0.8561054476007957,0.838191699604743,0.7605063868529547,0.8046845526714914
fedper-20260805T162143974378Z-270b7ffe84,fedper,5,0.7049181640383755,0.8698945981554678,0.7782670226101406,0.8364586497818851
fedper-20260805T162143974378Z-270b7ffe84,fedper,6,0.5889745066445493,0.872364953886693,0.7813667677542906,0.8388190939083681
fedper-20260805T162143974378Z-270b7ffe84,fedper,7,0.4954335510495152,0.8735177865612648,0.7826782911688654,0.8399000321051727
fedper-20260805T162143974378Z-270b7ffe84,fedper,8,0.41135003287173383,0.9176548089591567,0.8917331996551371,0.9148734595534965
fedper-20260805T162143974378Z-270b7ffe84,fedper,9,0.3393975083221717,0.9211956521739131,0.8992706154151147,0.9183149028037865
fedper-20260805T162143974378Z-270b7ffe84,fedper,10,0.2855199950799955,0.9223484848484849,0.9016199191901946,0.9194469890185791
fedper-20260805T162143974378Z-270b7ffe84,fedper,11,0.23342803485779895,0.9225131752305665,0.901780458724358,0.9196107831439075
fedper-20260805T162143974378Z-270b7ffe84,fedper,12,0.19526358594693372,0.9211133069828722,0.9011429758164511,0.9182086630902364
fedper-20260805T162143974378Z-270b7ffe84,fedper,13,0.1643750655399795,0.9883069828722003,0.9908567188352128,0.9882899916478839
fedper-20260805T162143974378Z-270b7ffe84,fedper,14,0.1443459341334417,0.9881422924901185,0.9907819718488043,0.9881254347877332
fedper-20260805T162143974378Z-270b7ffe84,fedper,15,0.1242697018545921,0.9880599472990778,0.9907445999700863,0.9880431583542906
fedper-20260805T162143974378Z-270b7ffe84,fedper,16,0.10350935972431903,0.9880599472990778,0.9908346066140128,0.9880427945142481
fedper-20260805T162143974378Z-270b7ffe84,fedper,17,0.09658133883240273,0.9880599472990778,0.9908346066140128,0.9880427945142481
fedper-20260805T162143974378Z-270b7ffe84,fedper,18,0.08455872686140543,0.9882246376811594,0.9910468986137431,0.9882097100393378
fedper-20260805T162143974378Z-270b7ffe84,fedper,19,0.07583619249378465,0.9883893280632411,0.9912771767702641,0.9883754583225761
fedper-20260805T162143974378Z-270b7ffe84,fedper,20,0.06828590540849752,0.9886363636363636,0.9915632058977227,0.9886227555429354
fedper-20260805T162143974378Z-270b7ffe84,fedper,21,0.06485453983702867,0.9886363636363636,0.9916500219083637,0.9886224431829628
fedper-20260805T162143974378Z-270b7ffe84,fedper,22,0.060270995842144126,0.9887187088274044,0.991687630741831,0.9887051191107108
fedper-20260805T162143974378Z-270b7ffe84,fedper,23,0.05299589581697782,0.9888010540184453,0.9918122048311278,0.9887875300120461
fedper-20260805T162143974378Z-270b7ffe84,fedper,24,0.05238675833607935,0.9888010540184453,0.9918122048311278,0.9887875300120461
fedper-20260805T162143974378Z-270b7ffe84,fedper,25,0.049891569564536345,0.9888010540184453,0.9918122048311278,0.9887875300120461
fedper-20260805T162143974378Z-270b7ffe84,fedper,26,0.048534869519458734,0.991106719367589,0.9931260487822523,0.9911001451025725
fedper-20260805T162143974378Z-270b7ffe84,fedper,27,0.045494256273637235,0.9914361001317523,0.9938034870891711,0.9914296879749395
fedper-20260805T162143974378Z-270b7ffe84,fedper,28,0.04638286034069824,0.9902832674571805,0.9934578921290499,0.9902739060091268
fedper-20260805T162143974378Z-270b7ffe84,fedper,29,0.047219929841196114,0.9917654808959157,0.9941334477512381,0.9917593948886118
fedper-20260805T162143974378Z-270b7ffe84,fedper,30,0.04271679574793035,0.9918478260869565,0.9941709664789821,0.9918419052170847
