bundle,protocol,seed,held_out,accuracy,weighted_f1,fixed_8_macro_f1,seen_class_macro_f1,validation_macro_f1,best_epoch,train_time,zero_train_support_classes,prediction_status,notes
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-1-1-seed-1337,loso,1337,1-1,0.8396641343462615,0.8936399112659617,0.22349934180761705,0.5959982448203122,0.8685177369544621,84,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-3-1-seed-1337,loso,1337,3-1,0.9112942553399005,0.9478146269986625,0.44251221841528565,0.8850244368305713,0.8374812401951512,150,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-34-1-seed-1337,loso,1337,34-1,0.10319449629353102,0.027488227440549226,0.0374723121201577,0.09992616565375385,0.743843612914745,150,NOT_AVAILABLE,DDoS,AVAILABLE,
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-36-1-seed-1337,loso,1337,36-1,0.11748874966910791,0.040820998156283435,0.043430752169091265,0.3474460173527301,0.618292335225177,150,NOT_AVAILABLE,C&C-HeartBeat|Okiru|Okiru-Attack,AVAILABLE,known_incorrect vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-39-1-seed-1337,loso,1337,39-1,0.8984343020875972,0.876199025444819,0.3010498281321064,0.6020996562642128,0.8657590880233416,150,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-1337-full/loso-held-out-9-1-seed-1337,loso,1337,9-1,0.99245,0.9960224401270494,0.24900561003176233,0.9960224401270493,0.863615397328537,150,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-1-1-seed-2026,loso,2026,1-1,0.4757596961215514,0.6099430028621106,0.15254674501581383,0.4067913200421702,0.8653685237594742,51,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-3-1-seed-2026,loso,2026,3-1,0.9881498098117624,0.9894319150514498,0.3698641729731912,0.7397283459463824,0.8194909045659644,73,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-34-1-seed-2026,loso,2026,34-1,0.18798997386806038,0.16458401235044706,0.08653509155759082,0.23076024415357552,0.739552048767738,150,NOT_AVAILABLE,DDoS,AVAILABLE,
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-36-1-seed-2026,loso,2026,36-1,0.11748874966910791,0.11742260850772542,0.12492963032463877,0.9994370425971102,0.6181945447987376,148,NOT_AVAILABLE,C&C-HeartBeat|Okiru|Okiru-Attack,AVAILABLE,known_incorrect vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-39-1-seed-2026,loso,2026,39-1,0.8948526401964797,0.8743160130246223,0.2999199943377324,0.5998399886754648,0.8604931592706719,74,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-2026-full/loso-held-out-9-1-seed-2026,loso,2026,9-1,0.82455,0.8935465401591984,0.22338663503979958,0.8935465401591983,0.857292702655165,56,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-1-1-seed-42,loso,42,1-1,0.6915233906437425,0.791587291327011,0.19797598156088544,0.5279359508290279,0.8711392003955551,149,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-3-1-seed-42,loso,42,3-1,0.9505510582268605,0.9693136707394945,0.3891776330459197,0.7783552660918394,0.856682073247454,143,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-34-1-seed-42,loso,42,34-1,0.1882032958242227,0.16095397165041067,0.08603624583373606,0.22942998888996283,0.7408620780569665,141,NOT_AVAILABLE,DDoS,AVAILABLE,
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-36-1-seed-42,loso,42,36-1,0.11744463072443308,0.11740054490208907,0.12490615615615616,0.9992492492492493,0.6135510944129203,72,NOT_AVAILABLE,C&C-HeartBeat|Okiru|Okiru-Attack,AVAILABLE,
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-39-1-seed-42,loso,42,39-1,0.9126074498567335,0.8845783589649928,0.310603528293221,0.621207056586442,0.8643725784303022,150,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
/Users/nguyen_bao/Projects/AIproject/FedKube-IDS/artifacts/phase1_clean/seed-42-full/loso-held-out-9-1-seed-42,loso,42,9-1,0.9901,0.994827028135669,0.2487067570339173,0.9948270281356691,0.8622277598615411,81,NOT_AVAILABLE,,AVAILABLE,absent_from_train vs known_correct: Requires at least one positive and one negative sample.
